_id,banco,cae,cae_origen,date,dormitorios,escenario_financiamiento,estacionamiento,extractor,fuente,id_registro,integrante,monto,monto_financiado_uf,monto_pie_uf,periodo,pie,plazo_anios,region,timestamp,tipo_inmueble,tipo_interes,tipo_registro,titulo_proyecto,ubicacion_detalle,url_fuente,url_pagina_scrapeada
6a1e2118e7fe73afeef5c0b1,referencia_cmf,3.9348,,2026-06-02,3,,True,juan,,,,31052.0,,,,20.0,,Metropolitana,2026-06-02T00:14:38,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c0ea,referencia_cmf,4.0663,,2026-06-02,1,,False,juan,,,,31301.0,,,,20.0,,Valparaiso,2026-06-02T00:15:09,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e211ae7fe73afeef5c1fd,referencia_cmf,4.4324,,2026-06-02,2,,True,juan,,,,31491.0,,,,20.0,,Biobio,2026-06-02T00:17:04,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e2118e7fe73afeef5c096,referencia_cmf,4.3184,,2026-06-02,2,,True,juan,,,,31491.0,,,,20.0,,Metropolitana,2026-06-02T00:14:23,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e211ae7fe73afeef5c1e6,referencia_cmf,4.4579,,2026-06-02,2,,True,juan,,,,31501.0,,,,20.0,,Biobio,2026-06-02T00:17:04,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e2118e7fe73afeef5c07f,referencia_cmf,4.362,,2026-06-02,2,,True,juan,,,,31501.0,,,,20.0,,Metropolitana,2026-06-02T00:14:23,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c0fa,referencia_cmf,4.4199,,2026-06-02,2,,True,juan,,,,31502.0,,,,20.0,,Valparaiso,2026-06-02T00:15:20,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c12e,referencia_cmf,4.378,,2026-06-02,3,,True,juan,,,,31503.0,,,,20.0,,Valparaiso,2026-06-02T00:15:44,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c108,referencia_cmf,4.3501,,2026-06-02,2,,False,juan,,,,31552.0,,,,20.0,,Valparaiso,2026-06-02T00:15:20,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c101,referencia_cmf,4.024,,2026-06-02,2,,True,juan,,,,31902.0,,,,20.0,,Valparaiso,2026-06-02T00:15:20,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c141,referencia_cmf,4.1602,,2026-06-02,2,,False,juan,,,,32002.0,,,,20.0,,Valparaiso,2026-06-02T00:15:57,departamento,mixta,,,,https://www.portalinmobiliario.com,
